Price,Close,High,Low,Open,Volume
Ticker,IAM.PA,IAM.PA,IAM.PA,IAM.PA,IAM.PA
Date,,,,,
2004-12-13,5.903131761186842e-09,6.5175222070558505e-09,5.853316351729707e-09,6.476009563790413e-09,13249002
2004-12-14,6.060880686220571e-09,6.243537185467994e-09,5.9529471023528e-09,5.9778546088467916e-09,3357365
2004-12-15,6.077484737687655e-09,6.1023922397356696e-09,5.936340906423551e-09,6.060879604356444e-09,1792571
2004-12-16,6.060880686220571e-09,6.094090958811012e-09,5.9778546088467916e-09,6.060880686220571e-09,1688164
2004-12-17,6.060880686220571e-09,6.1439063676966725e-09,6.002762511238461e-09,6.052577920124122e-09,1169935
2004-12-20,6.069182045820298e-09,6.168812847001775e-09,6.060879677003981e-09,6.127300211124965e-09,762860
2004-12-21,6.226930970854028e-09,6.235233735512686e-09,6.0857871388377194e-09,6.102392272257426e-09,1171446
2004-12-22,6.484309977849989e-09,6.559033267441459e-09,6.3016535316123056e-09,6.3099558994016e-09,1332226
2004-12-23,6.5590342046562e-09,6.5590342046562e-09,6.45110063668989e-09,6.5175211720852744e-09,474084
2004-12-24,6.426192467046121e-09,6.5590339281340515e-09,6.351469565825363e-09,6.5590339281340515e-09,328512
2004-12-27,6.5590342046562e-09,6.625454740051586e-09,6.4344955028410435e-09,6.492613669260815e-09,182716
2004-12-28,6.617151715460068e-09,6.625454480007423e-09,6.517520916277425e-09,6.559033947218995e-09,286752
2004-12-29,6.683573250398922e-09,6.7001779892046066e-09,6.567336911578015e-09,6.625455080988469e-09,684172
2004-12-30,6.990767964509814e-09,7.0322809963912235e-09,6.725085827341153e-09,6.725085827341153e-09,707464
2004-12-31,6.9824652726424574e-09,7.090398839942411e-09,6.974162507820484e-09,7.057188572449751e-09,72294
2005-01-03,7.073793550915752e-09,7.115305788200589e-09,6.974161964405662e-09,7.065490786740716e-09,350330
2005-01-04,6.824717235787148e-09,7.0737946574339616e-09,6.7333883991659815e-09,7.0737946574339616e-09,498909
2005-01-05,6.766597504537231e-09,6.8330180333040995e-09,6.7250852679043075e-09,6.808110532965313e-09,351322
2005-01-06,6.6005458876361445e-09,6.816412992378766e-09,6.3099558893190146e-09,6.766597202132344e-09,539740
2005-01-07,6.642059791062138e-09,6.766598095426462e-09,6.559034122853384e-09,6.600546759008954e-09,262255
2005-01-10,6.4511005426481915e-09,6.708480311502134e-09,6.351469741007493e-09,6.708480311502134e-09,123663
2005-01-11,6.3514704606859596e-09,6.492614310285284e-09,6.268444783244492e-09,6.492614310285284e-09,501840
2005-01-12,6.392982143665904e-09,6.41789004111549e-09,6.260141079661708e-09,6.260141079661708e-09,452055
2005-01-13,6.542429265010696e-09,6.642060071061182e-09,6.426192928720831e-09,6.426192928720831e-09,306056
2005-01-14,6.5341247967865e-09,6.600545316841136e-09,6.5009145367591825e-09,6.525822429728435e-09,205461
2005-01-17,6.4760095064286816e-09,6.5341272856650485e-09,6.3929834288378515e-09,6.5341272856650485e-09,329953
2005-01-18,6.492614446074185e-09,6.559034989416503e-09,6.476009310238606e-09,6.476009310238606e-09,144431
2005-01-19,6.517521633497836e-09,6.542429533983287e-09,6.434495958375743e-09,6.442798723836776e-09,142158
2005-01-20,6.642059791062138e-09,6.642059791062138e-09,6.492613588286381e-09,6.559034122853384e-09,140961
2005-01-21,6.6005458876361445e-09,6.642058914208976e-09,6.575638388410496e-09,6.642058914208976e-09,143957
2005-01-24,6.459404122693968e-09,6.600547578217672e-09,6.442798986991317e-09,6.559034936909876e-09,87332
2005-01-25,6.509218941630479e-09,6.559034344237125e-09,6.442798404821617e-09,6.5507315791872034e-09,57612
2005-01-26,6.434496047091898e-09,6.476009083174132e-09,6.392983011009663e-09,6.434496047091898e-09,284511
2005-01-27,6.484309977849989e-09,6.550730503754601e-09,6.442797347108388e-09,6.467704846373836e-09,54884
2005-01-28,6.4511005426481915e-09,6.608849509861436e-09,6.434495409041408e-09,6.459403307400389e-09,149820
2005-01-31,6.484309977849989e-09,6.559033267441459e-09,6.43449458342153e-09,6.459402478584541e-09,491201
2005-02-01,6.550732400967263e-09,6.6420608484852855e-09,6.484311855826039e-09,6.484311855826039e-09,197595
2005-02-02,6.567336896523557e-09,6.608849931135526e-09,6.534126627193038e-09,6.600547165854076e-09,303766
2005-02-03,6.517521633497836e-09,6.58394217359551e-09,6.517521633497836e-09,6.575639804032125e-09,402280
2005-02-04,6.517521633497836e-09,6.534126768522255e-09,6.434495958375743e-09,6.492614128910031e-09,105388
2005-02-07,6.567336896523557e-09,6.683573235078013e-09,6.542429392474487e-09,6.683573235078013e-09,562895
2005-02-08,6.550732400967263e-09,6.575640303344061e-09,6.525824894488143e-09,6.575640303344061e-09,132780
2005-02-09,6.550732400967263e-09,6.5590351670587545e-09,6.517522128396651e-09,6.534127264681957e-09,164958
2005-02-10,6.517521633497836e-09,6.559034669007706e-09,6.500916498473417e-09,6.500916498473417e-09,107255
2005-02-11,6.417890219267974e-09,6.5507312869596695e-09,6.417890219267974e-09,6.5507312869596695e-09,82183
2005-02-14,6.4760095064286816e-09,6.4760095064286816e-09,6.417891331294636e-09,6.4760095064286816e-09,233689
2005-02-15,6.509218941630479e-09,6.517521310782773e-09,6.434495639771696e-09,6.476008673226048e-09,287811
2005-02-16,6.4511005426481915e-09,6.4760084410071726e-09,6.442798173793607e-09,6.4760084410071726e-09,340981
2005-02-17,6.484309977849989e-09,6.550730503754601e-09,6.43449458342153e-09,6.476007610060694e-09,73706
2005-02-18,6.550732400967263e-09,6.550732400967263e-09,6.4594043493469186e-09,6.509219758202836e-09,784705
2005-02-21,6.517521633497836e-09,6.5258243989588686e-09,6.392982922865872e-09,6.5258243989588686e-09,194726
2005-02-22,6.4760095064286816e-09,6.509219779105942e-09,6.368075922278745e-09,6.4760095064286816e-09,367537
2005-02-23,6.509218941630479e-09,6.517521310782773e-09,6.392982606317344e-09,6.392982606317344e-09,49266
2005-02-24,6.434496047091898e-09,6.509219353680859e-09,6.384680641331808e-09,6.509219353680859e-09,86380
2005-02-25,6.4427987389592545e-09,6.476009009086043e-09,6.4178908384153396e-09,6.434495973478733e-09,80755
2005-02-28,6.434496047091898e-09,6.592245029947675e-09,6.392983011009663e-09,6.392983011009663e-09,361270
2005-03-01,6.467705926382905e-09,6.5009161948808236e-09,6.426192892811692e-09,6.5009161948808236e-09,223027
2005-03-02,6.417890219267974e-09,6.451100486190898e-09,6.409587454588439e-09,6.434495352729436e-09,109012
2005-03-03,6.417890219267974e-09,6.459403250870434e-09,6.351469685422127e-09,6.417890219267974e-09,210578
2005-03-04,6.525824325365193e-09,6.559034595039508e-09,6.376377715933132e-09,6.376377715933132e-09,64468
2005-03-07,6.251838602366888e-09,6.642059419040582e-09,6.226930705350545e-09,6.600546389312541e-09,542221
2005-03-08,6.135603136669943e-09,6.301654882937118e-09,6.0525774614851784e-09,6.293352117469817e-09,408883
2005-03-09,5.969551963858066e-09,6.143906084880862e-09,5.928038927082101e-09,6.143906084880862e-09,601030
2005-03-10,5.969551963858066e-09,6.052577641512336e-09,5.936341692796359e-09,5.969551963858066e-09,479717
2005-03-11,6.1854183996956635e-09,6.2518393342153686e-09,5.961248883897371e-09,5.977854018552888e-09,268961
2005-03-14,6.235233218632175e-09,6.3431663789641545e-09,6.1937201905753995e-09,6.3431663789641545e-09,359966
2005-03-15,6.3763772040204e-09,6.476008400942328e-09,6.218628237783094e-09,6.301654301200969e-09,255288
2005-03-16,6.301654753571029e-09,6.384680427051367e-09,6.285049618874961e-09,6.384680427051367e-09,66396
2005-03-17,6.268443986101602e-09,6.334864519608237e-09,6.24353608808781e-09,6.309956621594444e-09,75694
2005-03-18,6.260141294234245e-09,6.276746427803927e-09,6.2352337918285286e-09,6.268444058967892e-09,130317
2005-03-21,6.409587083311408e-09,6.476008009207416e-09,6.268443655013558e-09,6.268443655013558e-09,372342
2005-03-22,6.392982143665904e-09,6.451100307116539e-09,6.326561611663806e-09,6.434495174116015e-09,162539
2005-03-23,6.309957889527595e-09,6.368076065973066e-09,6.309957889527595e-09,6.359773299667561e-09,86767
2005-03-24,6.301654753571029e-09,6.359772527058445e-09,6.226931449489906e-09,6.351470157659231e-09,66229
2005-03-25,6.301654753571029e-09,6.301654753571029e-09,6.301654753571029e-09,6.301654753571029e-09,0
2005-03-28,6.301654753571029e-09,6.301654753571029e-09,6.301654753571029e-09,6.301654753571029e-09,0
2005-03-29,6.152208076315446e-09,6.3348649518184715e-09,6.152208076315446e-09,6.3348649518184715e-09,110468
2005-03-30,6.118997752935229e-09,6.210326189875382e-09,6.118997752935229e-09,6.210326189875382e-09,99090
2005-03-31,6.143905828537299e-09,6.34316744659371e-09,6.110695558861231e-09,6.160510963375334e-09,85155
2005-04-01,6.177116151917517e-09,6.309957231776718e-09,6.1439058819527166e-09,6.309957231776718e-09,50774
2005-04-04,6.135603136669943e-09,6.218628811854707e-09,6.12730076710029e-09,6.143905902137243e-09,62795
2005-04-05,6.226930970854028e-09,6.226930970854028e-09,6.135602539096838e-09,6.226930970854028e-09,19351
